CustomerID,MonthlyIncome,MonthlyExpenses,LoanAmount,CreditScore,RiskGrade,PreviousDefaults,DefaultIn6Months
1,4996.3209507789,2181.383683100143,36769.91723850855,650.9795126046956,I,1,0
2,9605.71445127933,1998.1044330413147,10041.087784336867,552.6108494438063,I,2,0
3,7855.951534491241,1292.6926062628702,17985.34502412442,830.4741886751675,K,4,0
4,6789.267873576293,3232.700015456696,33500.75120603309,420.438148041331,I,4,1
5,3248.149123539492,2644.80872228883,24622.37788169952,623.3210287994174,K,1,0
6,3247.956162689621,4395.654465458017,37189.980893109794,685.1155082446224,J,3,0
7,2464.6688973455957,644.4931121692622,48099.187159920126,754.0604691399599,K,2,1
8,8929.40916619948,3397.4056739980683,6710.787698044677,523.8340667354039,J,0,1
9,6808.9200939456705,3933.269953302025,35768.818103504986,677.8070492116149,J,4,0
10,7664.580622368364,3917.6895613473816,12286.863625973612,466.7608092613555,J,4,0
11,2164.67595436642,4487.332851929863,21309.359642970892,539.5118507990012,I,3,0
12,9759.278817295955,3780.6518427327233,2610.2735639618513,792.5949221618696,I,2,0
13,8659.541126403374,4675.145277414634,7659.461732342248,822.4491851320249,K,0,0
14,3698.712885426209,1996.9546991940115,16669.087163396085,695.3495408099956,J,4,0
15,3454.599737656805,2764.4423753819437,17757.304459111263,505.8935399269018,K,4,0
16,3467.2360788274705,563.3584847730081,45079.67560664269,751.0317844860652,J,0,0
17,4433.937943676302,531.3091428648105,37348.83255405924,314.2268949489811,J,2,0
18,6198.051453057903,1580.5697920318396,48636.96544116501,356.5102507966816,K,2,0
19,5455.560149136926,953.6323871258836,30354.504006426785,663.7555550064486,K,2,0
20,4329.8331215843355,1670.9511557108913,12843.97287247458,460.1867163985316,K,4,0
21,6894.823157779036,1296.6948253777882,17055.0964661605,823.2624201202627,K,1,0
22,3115.950885216335,628.3401117739171,16671.960241306388,539.8333366507676,I,4,1
23,4337.157188281745,4591.868658827222,16998.22205549933,536.1506512140473,J,3,1
24,4930.894746349533,537.0040912500118,33975.24448247897,672.9437306050122,J,3,0
25,5648.559873736287,3812.3696495168842,27009.588476430396,722.1627092684043,I,4,0
26,8281.407691144108,1184.6654911378243,19885.784726245573,561.5573059688251,J,4,0
27,3597.390257266878,4605.0332989982,8305.398667707113,417.70049594144825,I,0,1
28,6113.875507308893,4517.581728154486,2084.8189841651492,725.3197534990919,J,2,1
29,6739.316550896339,3442.555158661658,11722.899201796938,476.1932011804952,I,0,0
30,2371.6033017599816,3525.053674102723,6266.0987944653825,396.31092311162166,I,3,0
31,6860.358815211507,524.0261388635985,39486.80651175973,647.4021044587573,J,3,0
32,3364.1929894983323,4931.922047511209,6512.399932880384,349.7495168446927,J,1,0
33,2520.412743882236,4450.246716091165,36487.183628034974,834.2439712973302,J,2,0
34,9591.084298026666,4527.978015785414,19897.275799028048,647.8184954266753,K,2,1
35,9725.056264596475,3466.600416728924,4595.541097445022,842.2425365069657,J,3,0
36,8467.17878493169,2051.5411789454142,40823.772422147704,486.3913829132498,J,0,1
37,4436.910153386965,4521.418920907164,29401.897941594056,834.1628386547188,J,4,0
38,2781.376912051071,1811.8261766803655,12552.314130315079,380.05923625074297,K,2,0
39,7473.864212097255,3032.201945039913,44839.377542300725,322.38212479086565,J,4,0
40,5521.21994991681,948.7893755474707,3217.6573796570215,318.1412332500314,I,3,0
41,2976.3058787582304,4648.800335597376,10889.160801690383,555.6787038295749,I,1,1
42,5961.415280890162,1133.46705997046,37850.29946248719,345.65230861322715,K,3,0
43,2275.108168921747,1512.0356257868327,35759.51858518457,581.6923362921809,K,4,0
44,9274.563216630257,3011.6037115769673,15174.312992499423,480.1252769298953,K,3,0
45,4070.2398528001354,3938.418500958417,4039.2188922863725,484.59594586076355,K,2,1
46,7300.178274831856,3287.0808767133453,43045.82553902225,649.5849480998434,K,4,0
47,4493.688608715288,1544.6026076007026,16371.184265425227,389.7039033833911,J,4,0
48,6160.544169422486,504.2436913737065,10589.957331484995,721.604353686852,I,1,1
49,6373.682234746238,3907.1776113834762,26287.029295687877,620.1170058782491,I,2,1
50,3478.8356442042164,4933.432966599922,45601.13276483992,803.219545866131,J,0,0
51,9756.677022116468,4144.609041377407,3133.782314325392,500.66235957213786,K,1,1
52,8201.062586888916,2570.929781704769,38524.4003135135,840.493245636919,J,2,0
53,9515.991532513513,4566.9526762959795,29051.188168996738,616.7052056927128,K,0,1
54,9158.61880342119,2344.314529032575,21847.00671103903,835.3710759031436,I,4,0
55,6783.199830488681,2862.203379095604,37459.941761147944,314.8833597259134,I,1,0
56,9374.993880184935,2647.0839532805744,48325.39679763998,700.3869773268134,K,4,0
57,2707.940016415356,2514.3074269948625,12231.10434697186,749.141838361005,J,4,1
58,3567.8628993531615,3988.358461822576,8038.720888533861,329.2453076720682,K,4,0
59,2361.8183112843044,2870.4600827127138,45731.20551591215,618.4333152089351,K,2,0
60,4602.642646106115,1925.2270491134723,33778.70079540788,741.0682614741966,I,0,1
61,5109.418317515856,1661.7117544631524,22461.315056536332,608.57129887269,K,2,0
62,4170.792254191168,669.8629263534502,29089.718942949872,335.09747472300666,J,4,0
63,8629.900073215435,3124.378228473707,37535.08135363596,681.3959824940713,K,1,0
64,4854.0266135487145,1534.826369304654,38878.56303658014,333.32830307031975,I,4,0
65,4247.476077499046,1166.6026490737238,46074.81486012926,749.6078922590411,J,0,1
